County,Population Density
Alameda,2043.60 
Alpine,1.60 
Amador,64.10 
Butte,134.40 
Calaveras,44.70 
Colusa,18.60 
Contra Costa,1465.20 
Del Norte,28.40 
El Dorado,106.00 
Fresno,156.20 
Glenn,21.40 
Humboldt,37.70 
Imperial,41.80 
Inyo,1.80 
Kern,103.30 
Kings,110.10 
Lake,51.50 
Lassen,7.70 
Los Angeles,2419.60 
Madera,70.60 
Marin,485.10 
Mariposa,12.60 
Mendocino,25.10 
Merced,132.20 
Modoc,2.50 
Mono,4.70 
Monterey,126.50 
Napa,182.40 
Nevada,103.10 
Orange,3807.70 
Placer,247.60 
Plumas,7.80 
Riverside,303.80 
Sacramento,1470.80 
San Benito,39.80 
San Bernardino,101.50 
San Diego,735.80 
San Francisco,17179.10 
San Joaquin,492.60 
San Luis Obispo,81.70 
San Mateo,1602.20 
Santa Barbara,155.00 
Santa Clara,1381.00 
Santa Cruz,589.40 
Shasta,46.90 
Sierra,3.40 
Siskiyou,7.20 
Solano,503.00 
Sonoma,307.10 
Stanislaus,344.20 
Sutter,157.30 
Tehama,21.50 
Trinity,4.30 
Tulare,91.70 
Tuolumne,24.90 
Ventura,446.70 
Yolo,197.90 
Yuba,114.20 
